Nom;Fonction;Adresse;Tel;Site Web
Dana Barget;Concepteur-intégrateur web;10 rue des 3 rois Castres (81100);0626047009;https://inforbarget.com
OFFICIELLE;Assistante de direction;Bruz (35170);0607639753;https://www.officielle.net
Sciences inFormations;Responsable Formation;3 Allée Marc Chagall Paris 13 (75013);0634675087;https://sciencesinformations.fr/
Renaud informatique;Maintenance informatique;500 Avenue louis coppel Thyez (74300);0645677143;http://www.renaud-informatique.fr
Assist'Vous;Assistante Indépendante;CLOS DES VARETS Honfleur (14600);0652244435;http://www.assistvous.com
Patrice Péguet;Praticien en instructeur en rééquilibrage énergétique par la Reconnexion Axiatonale;25 rue Henri Rolland Villeurbanne (69100);0620543381;http://www.reconnexion-axiatonale.com
E-magencia;Graphiste - Webdesigner;61 route de Colombiers Pons (17800);0782127100;https://www.e-magencia.com/
INSTANT ZEN;PRATICIEN BIEN ETRE;29 Rue Saint Eloi Rouen (76000);0642261745;
Simple Comme Sarah;Assistance informatique, internet et administrative à domicile;La Rochelle (17000);0686589564;https://www.simplecommesarah.com/
Cré’Art CARRELAGE;Carreleur-Mosaïste;Résidence Julian Grimau Hennebont (56700);06.83.21.33.57;
Ana Sellès;Thérapeute et Formatrice;Domaine de Ser Chemin de Ser, Asson (64800);0661164571;http://www.centre-formation-bien-etre.com
NUMISMONEO-Serge DEBAECKE;Ventes d'objets de collection via plateforme Ebay;10, rue de Penthièvre Paris 8 (75008);;http://www.ebaystores.fr/numismoneo2018
Marion Ebendinger;Dessinatrice Projeteuse;7 rue du hameau Ciré-d'Aunis (17290);0679782120;https://www.facebook.com/dpap17290/
Julie BERAUT;Rédactrice de contenus Web;Talence (33400);0695047487;https://www.commundeclic.com
REDactionsPlus;Rédaction - Communication;Saintes (17100);0622542244;https://www.facebook.com/REDactionsPLUS/
VEILLE DE LYNX;Veille, investigation, enquête sur le net, protection des Marques et apporteuse d'affaires;3 bis, Rue Pierre d'artagnan Le Plessis-Robinson (92350);0660540103;http://www.veilledelynx.com
Lefebvre Tony;Peintre en bâtiment;Saint-Herblain (44800);;
Locomint;Médiateur numérique indépendant;Rocheservière (85620);0687003459;https://www.locomint.fr
A.S-Project;dessinateur industriel;1 RUE DE LESPRIOU Balaruc-le-Vieux (34540);0688237751;https://alexsoler1.wixsite.com/dessinateurprojeteur
Kfp;Peinture entimousse ravalement;Le Poiré-sur-Vie (85170);0771256273;
Magalie Branquart photographie;Photographe;38 rue du moulin Aubry-du-Hainaut (59494);0750986652;
Odile sauvaget;Psychologue clinicienne;73 Rue Bunsen La Roche-sur-Yon (85000);+33768360931;
SP PROJECT TECHNOLOGY;Installation et vente de matériel audiovisuel professionnel, Montage de mobilier et coworking;50 rue du Général Leclerc Créteil (94000);0684779760;
Ames Animales Education & Bien-Etre;Educateur canin spécialiste en comportement animal;20 ROUTE DE MONNERVILLE Pussay (91740);0621132562;https://www.ames-animales.com
sOnOlive;DJ animateur;Esclavelles (76270 );0687892043;
Soft One - Développement de logiciels;Développeur informatique;Amiens (80000);0365890653;https://www.soft-one.fr
Fatou Secrer'R;Secrétaire / assistante;Gennevilliers (92230);;https://Fatou-secretaire.com
Khammileon Designs by Sara Cammi;Développeuse web;Cagnes-sur-Mer (06800);;http://saracammi.fr
Carine St.;Coach de vie;1 rue Robert Schuman Esc 7 Le Pecq (78230);0682867948;https://www.facebook.com/CarineStoeblen/
k'nail 18;prothesiste ongulaire;Mehun-sur-Yèvre (18500);0660400534;https://www.facebook.com/knail18
Guillaume-Henri HUREL;Conseil en stratégie et organisation;Paris 16 (75116);;http://www.linkedin.com/in/ghhurel
Magenta communication;Agence de communication;59 rue berthonnière Saintes (17100);0768177618;http://magentacommunication.com
Nath ma coach immo;Prestataire de services et conseils en immobilier;8 rue de saint eusèbe Saint-Laurent-d'Andenay (71210);0610390057;
Imprim Compo | Severine Levrel;Developpeuse web | Infographiste;Route de Vitrac Taponnat-Fleurignac (16110);0661700411;http://www.imprim-compo.com/
Rossello Pictures Photographies;Photographe;1127 Route de Draguignan Le Tignet (06530);0663303592;https://www.rossellopictures.fr/
RC graphics;Infographiste 2D/3D;14 chemin de la serinette Toulon (83000);0613584503;https://rcgraphics.fr/
SECRETARIAT EXCELLENCE;Assistante de direction externalisée, indépendante;20 Rue du 18 juin Ermont (95120);0611269452;https://www.secretariatexcellence.fr
Jérôme Messinguiral;Médiateur professionnel;Rodez (12000);0672909692;https://jmsmediation.fr
LA secrétaire indépendante;Secrétaire indépendante;13 bis chemin de garibondy Le Cannet (06110);0651455200;https://la-secretaire-independante-08.webself.net/
E.I.M. & Habitat;Rénovation tous corps d'état;Magny-en-Vexin (95420);0661749965;
ADcom.prestations;Assistante de Gestion PME-PMI;Grasse (06130);0665960605;
VISION DRONE;"demoussage et traitement facade et toiture, prise de vue, video, suivie de chantier; inspection de toitures";Nohic (82370);0625537963;
Béatrice ROMENTEAU - BRH Consulting;Conseils & prestations de veille et intelligence économique, études Web, Data Intelligence, Social Monitoring;Villeurbanne (69100);;http://consultingbrh.com/
Filmike;Réalisation de films et vidéos;16 rue Sainte Claire Mulhouse (68100);0651143266;http://www.filmike.com
Val'o buro;Assistante administrative indépendante;Murviel-lès-Montpellier (34570);0684831266;
Anne-Sophie Marteau;Traductrice;Rillieux-la-Pape (69140);;
Home rénovation Poitiers;Rénovation et aménagement intérieur;79 Boulevard Pont Achard Poitiers (86000);0630818260;
Emmanuel KOUOTZE;Coaching Bien-être.;Bordeaux (33200);06.80.03.08.27;
Thierry NADE Photo;Photographe;2 rue de grimont Saint-Julien-lès-Metz (57070);0610520751;Http://thierrynade.fr
Pixlcreation;Consultant Internet - Marketing Digital;Nancy (54000);0626287757;https://www.pixlcreation.com
Naturellement Saine;Naturopathe ,Aromatherapie ,Gemmotherapie;581 rue des Eygarots Le Bugue (24260);+66830638607;https://naturellementsaine.wixsite.com/website
Yassine BEN OMAR;Ingénieur Réseaux;78 AVENUE DES MARTYRS Grenoble (38000);+33645075957;
Nathalie GUILLERMIC;Professeure de Piano;10 rue Crespin Du Gast Paris 11 (75011);0143579407;
EPSYLON-INTERCOM;PRÉ-PRESSE-MICRO ÉDITION-INFOGRAPHIE;36, rue de CARLING L'Hôpital (57490);0633155656;
Agence Netlinking;Consultant SEO;4 impasse archambaud Talence (33400);0664651653;https://www.agence-netlinking.fr
FRAPPE DEVIS;Secrétaire;Beuil (06470);09.67.44.84.61;http://www.frappedevis.sitew.fr
David Le Lohé;Enseignant libéral - Coach d'entreprise certifié - Coach de vie certifié;Bruay-la-Buissière (62700);;https://david-le-lohe.business.site/
Karanim CM Animation;DJ - Animateur de soirée;Saint-Loubès (33450);0681065373;http://karanim.cm.free.fr
Clientel@Dom-hwb;Relation Clients et Télémarketing MultiCanal;2 Place de la République Strasbourg (67100);0980083610;https://www.clienteladom-hwb.net
Atelier Créa' Design;Décorateur d'intérieur;4 rue de la Tremblaie ZA de la Tremblaie La Milesse (72650);0624395657;https://www.ateliercreadesign.com/
TITALOM HAPPI;Organisation d’événements;Angoulême (16000);0643044692;
Alexandre Lescure Photographe;Photographe;Saint-Loup (58200);0662381971;http://www.alexandrelescure.com/
Jean-Marie LEON;Enseignant de la conduite automobile et de la sécurité routière;Orléans (45000);0783031114;
Michaël Saifoudine;Créateur de solutions web, site internet, graphiste, designer et consultant digital;Issy-les-Moulineaux (92130);0646508603;https://architecte.digital
Christophe Leonardi;Graphiste Print & Web;Villejuif (94800);0659632473;https://www.c-leo.fr
FD-Solutions;Dératisation - Désinfection - Désinsectisation;Annœullin (59112 );0698835390;
CHARLES Luc;Votre Cours de TCHI Kung;59, boulevard de Ménilmontant Paris 11 (75011);0609127404;http://association-energie.blogspot.com/
Annika Tisserant;Traducteur juridique;Fougerolles (70220);0648798741;
Alexandra Oury;Journaliste littéraire indépendante;Amiens (80000);;http://alexandraoury.com
Atelier Padgom;graphiste illustratrice;83 rue du Bizay Marcilly-le-Châtel (42130);0613973756;http://atelier.padgom.com
MayBox;Assistante Administrative Polyvalente;14 rue de la fosse Saint-Étienne-de-Montluc (44360);078/1220485;https://www.facebook.com/MayBoxServices/?modal=admin_todo_tour
Weblandes.com Laurent;Développeur web / création et refonte de site web;Pouldreuzic (29710);0670277567;https://www.weblandes.com
Tekly.fr;Agence web : création de site internet;Cassis (13260);;https://tekly.fr/
Prep' Avenir;Conseillère en Orientation;39 Rue du château d'eau Bordeaux (33000);0683656585;http://prep.avenir.free.fr
GAILLARD MARON EIRL;Coach personnel;Valence (26000);0671620191;https://www.coachingamoureux26000.com
Univers Intérieur;Architecte d'intérieur;Barbizon (77630);0665367890;http://www.universinterieur.com
GCSI;Consultant / Développeur Excel & Google Sheet;2 BIS rue de la Noue Villeromain (41100);0668099486;https://www.gcsi.fr/
L'Atelier de Sylvie;Créatrice de bijoux et d'accessoires pour les mariées;Lyon (69000);;http://www.latelierdesylvie.com
Noelle COUGET;DIRECTRICE FINANCIERE ET ADMINISTRATIVE;Bordeaux (33000);0616297541;
Monsieur Gus;Community Manager / Site Internet;9 rue Louis Lumière Chartres-de-Bretagne (35131);0685761215;https://www.monsieurgus.fr/
Le Studio des Petits Moineaux;Photographe;21 rue du buisson Baugy (18800);0952861837;http://www.celinedenjean.fr
Processus & Performances;Prestataire de services en solutions de gestion ► CRM & ERP • GED & Dématérialisation • BI • SaaS & E-Services ...;Villeneuve-d'Ascq (59650);;
Rêves de Pommes;Exploitant gîte et maisons d’ hôtes;Monceaux-en-Bessin (14400);;
Edwige Laflaquière;ORTHOPHONISTE;Lyon (69007);;https://www.edwigelaflaquiere.fr/
Damien Fache;Ingénieur d'études en informatique;Metz (57000);;
Tranqu'île services Escal'pattes;prestataire garde de chiens sur site, visites (chats, chiens) promenades chiens au domicile ou résidence de vacances du client;31 CLOS LA ROSE DES VENTS Saint-Pierre-d'Oléron (17310);0688125964;
Mireille HEURTEBIZE;Correctrice d'édition, presse et communication;Chassagne (69480);;
SOLUTIONS DE GESTION;Assistante de gestion;Lieu-Dit Les Minières Beaulieu-sous-Parthenay (79420);0986413886;https://www.solutionsdegestion.fr/
CÉZEMBRE INFORMATIQUE SERVICES;DÉPANNAGES ET AUTRES SERVICES INFORMATIQUES ET NUMÉRIQUES;Saint-Malo (35400);0661776735;
Pros Marketing;Création de site internet ,développement publicitaire,;Vaires-sur-Marne (77360);0164216934;http://www.prosmarketing.fr
L'atelier Fildefer;Artisan bijoutier;18 rue du grenier à sel Fécamp (76400);0235101793;https://www.fildefer-boutique.com
Arthur Effects;Vidéaste;3 route de la chaine Le Tanu (50320);0615234685;http://arthureffects.fr
DROUODE Johanna;Assistante administrative à domicile;Moule (97160);0690582393;
France Bonnet;Praticienne en soins et massages ayurvédiques;ESPACE GM 5 rue du Martinet (Marcadieu) Tarbes (65000);+33752033303;https://www.surya-massage.com
Digitalprod.info;Réalisateur Audiovisuel et Télépilote de Drone Pro;Saumur (49400);;http://www.digitalprod.info
Hélène ARQUES;Psychothérapeute (hors cadre réglementé) Gestalt-thérapeute;8 Allée des Pervenches Saint-Nazaire (44600);0688315759;http://gestalt-therapie-relationdaide.fr
AB.Connect;AB.Connect;9 rue Joseph Bertoin Fontaine (38600);0661256728;
Carole Chausse;Formatrice Anglais;La Baule-Escoublac (44500);;
François JOUAN;Coach Formateur Bien Être et Développement Personnel;Bagnères-de-Luchon (31110);;
Le son de ma voix;Consultante-formatrice certifiée et coach en intelligence relationnelle, communication interpersonnelle et intrapersonnelle et prise de parole;Paris 5 (75005);0632240581;http://www.lesondemavoix.com
Antoine Fougeres - MOVIMIENTO;Réalisateur de films corporate et publicitaires;Montrouge (92120);0660728601;http://www.movimiento.fr
Nicolas Kuhn;Webmaster;Strasbourg (67000);;https://www.onk-studio.fr
AE PEINTURE;PEINTRE EN BATIMENT;10 bis rue des avelines Agde (34300);0687323178;
Spot POIETIQUE;Art-thérapeute;3ème étage, Perigord les Vignes La briqueterie, D307 Feucherolles (78810);00623027953;https://www.le-spot-poietique.com/
Michael GRIVAZ;Webmaster, webdesigner;92 Allée des Pins Bonne (74380);0632662024;http://www.accessweb-dev.net
Gardais;Consultant/Formateur;M Gardais Jean-Pierre Vitré (35500);0686843110;
Laura Chambron;Formation continue d'adultes;1 Place Guillaume FOURES Castanet-Tolosan (31320);;https://3p-formation.fr/
A3 SERVICES;Artisan du Nettoyage;4 Rue Mouffetard Sainte-Scolasse-sur-Sarthe (61170);06.35.56.48.05;
Thierry Alcaraz / Domaine de la Gacherie;Hebergement touristique - Traiteur;La Gacherie Saint-Médard-d'Excideuil (24160);0602693302;http://www.gite-perigord.net/
DRIVER COACH SERVICES;Transports Voyageurs Conducteur Indépendant;33, rue castelbajac Grenade (France) (31330);0033660132213;http://www.Driver-Coach-Services.com
AnimoServ64;petsitter;Biarritz (64200);0622939662;http://www.animoserv64.fr
Follow me Jack;Consultante en webmarketing et communication digitale;82 rue de la Contrie Nantes (44100);0602653162;https://followmejack.fr
Ana Gabriela Podosu;Therapeute;29 Rue Saint Luc Mauriac (15200);0681651939;http://www.santeequilibree.com
Trouvé Pascal Nyamidex Conseil et Formation;charge de sécurité Incendie, Pyrotechnie - Formateur;Saint-Restitut (26130);0683837031;
Judite ALVARES;Traductrice, Interprète, Consultant;18 Bis, rue Marlot Pte 1 (Cour) Reims (51100);0326887652/0620896095;http://alvares-traduction.com
Le Temps du Souffle;Enseignante de Yoga;3 rue du stade Sundhouse (67920);+33683128140;
Bertrand.pro;Publicité Google Ads, Référencement naturel, Webmarketing, Coaching;des écoles Aubervilliers (93300);0680047096;https://www.bertrand.pro
Interagent Business;Accompagnement de sociétés d´AMLAT lors de leur implantation en Europe;23 impasse jean baptiste guitton Saint-Herblain (44800);0668152886;https://www.interagentpro.com/
PEINTURE MATH';Peintre en bâtiment;2, résidence Havre sur Mer PETIT HAVRE Gosier (97190);0590.82.03.76;
SYLVAIN PRÉVOS;Formateur en habilitations électriques.;Trizay (17250);0632738561;https://formationssp.vpweb.fr/?prefix=www
Xavier Turcaud;Consultant, auditeur, formateur qualité;57 rue de la mare Paris 20 (75020);0658170489;
Jean Hernandis;Plombier;183 au Pech de l'Agnel Narbonne (11100);0785692923;
"""La Patte à Mots""";écrivain-conseil ® public;Thionville (57100);;http://ecrivain-conseil.meric-ecm.eu/
Martine Frémont;Traductrice;Caen (14000);;
JMe Ingénierie - joel METEAU;MAÎTRE d'OEUVRE en BÂTIMENT - A.M.O. - O.P.C.;20,Avenue du Maréchal Leclerc Charleville-Mézières (08000);0622212029;
ART?no! - Création Vidéo;Numérisation tous média - Montage Vidéo - Création de DVD Vidéo;33 rue de Combemore le Hameau des Presles Irigny (69540);+33651821555;http://www.artno-video.fr
DIDACTICE Jeannick ANDRE;Concepteur e-learning;22 rue de la gare Coullons (45720);0682716304;http://www.didactice.fr
Parcours Anglais;Formateur / professeur d'anglais;5 Rue de la Ville Deneu Corseul (22130);0296827153;http://www.parcoursanglais.fr
InGeLo;Création de logiciel de gestion sur mesure;22 chemin de Crouzas Mende (48000);0951389470;https://ingelo.eu/FR/
Rosa Cancer Beltran;Interprète Traducteur Assermenté;6, avenue Nitot Pau (64000);0682780482;
ACTA44;Formateur-Médiateur, Arbitre, Expert en droit des affaires et fiscalité. Conseil-Mandataire en fusions acquisitions;Guérande (44350);0768329272;
Domroese Frank  33 Transmission;Spécialiste Moteurs et Boite Vitesses Automatiques et autres;110 av justin Luquot BP53, Coutras (33230);0633842267;
LOUIS Didier;Expert en évaluation de dommages après sinistres;7 rue de la SUIZE Chaumont (52000);0972955236;
MS Courtage;Courtier en prêt immobilier;Antibes (06600);0670469957;
ARNAUD MERCIER;Directeur Technique / Ingénieur du Son;9 Avenue Cagnoli Le Virgilia Nice (06100);+33660172715;http://www.arnaudmercier.com
ELLICOMEDIA;Installation,maintenance et dépannages informatiques PME, Particuliers et Professions libérales;Choisy-le-Roi (94600);0604134954;http://www.ellicomedia.com/
3dfreelance.fr;Infographiste 3D;52 avenue de l'arche Courbevoie (92400);0970444214;https://3dfreelance.fr/
Num-ERIC INFORMATIQUE;Technicien conseil - Développeur Web;Le Grand Chemin Bréville-sur-Mer (50290);0651377621;https://num-eric.net/
Vicarini Hypnose;Hypnothérapeute;56 route de clisson Nantes (44200);0782311731;https://vicarini-hypnose.fr/
Maxime Huard Optométriste Fonctionnel;Optométriste Fonctionnel;Paris 15 (75015);0782728643;https://www.optometriefonctionnelle.fr
webor;développeur;Clairoix (60200);;
KMF SERVICES;Secrétaire indépendante;Rue des Quatre Chemins Aubervilliers (93300);0982597474;https://www.kmfservices.fr/
Pascal Gayvallet;Soutien scolaire et cours à domicile en mathématiques;25 rue de cuques appt 183 les Romarins bat E Aix-en-Provence (13100);0611529317;
Luxury Event;Event planner Designer;36 rue de Buci Paris 6 (75006);0650122818;http://luxury-event-paris.fr
LECUYOT DOMINIQUE;CONSULTANT CONSEIL CONTRAT/MARCHES PUBLICS;AVENUE DES PINS Saint-Denis-d'Oléron (17650);0629055669;
Florian Lemaître;Community Manager et Rédacteur Web;Clermont-Ferrand (63000);;https://florianlemaitre.com/
Isabelle Massalski - Traduction - Rédaction - Cours de langues;Traductrice indépendante;Lyon (69003);0627769792;
DOPHIS Excel Access VBA;Formateur et Développeur Excel Access VBA;58 impasse de la ferme Drumettaz-Clarafond (73420);0608005363;https://www.dophis.fr/formation-excel-sur-mesure-formation-access-formation-vba-chambery-annecy-grenoble-lyon/
MOMENTS ZEN;PRATICIENNE MASSAGES REFLEXOLOGIE;RUE MARCEL BISAULT Saint-Georges-sur-Cher (41400);06.51.28.34.50;http://www.momentszen.com
Antoine Sirven Gabiache;Concepteur / Développeur web;Bagneux (92220);0678431881;https://antoine.sirven-gabiache.fr
ATELIER LOMANELYS PHOTOGRAPHY;PHOTOGRAPHE INDEPENDANT;1, chemin du Rouffard Caumont (27310);0616899725;http://www.atelier-lomanelys-photography.com
Maryne & Co.;Visites à domicile et promenades d'animaux de compagnie;7 rue César Franck Arles (13200);0752063413;Https://www.maryneandco.fr
MRT Studio;Illustrateur 3D, Architecture/design intérieur;Rouen (76000);0658413182;http://mrtb.fr
Ingenius Lab;Organisme de Formation;2 rue Jean Jaures Saint-Germain-en-Laye (78100);0769740465;https://ingenius-lab.fr
Caroline Secrétariat Assistance;Assistante indépendante;Quincy-Voisins (77860);0788203402;http://www.secretariat-assistance.com/
ASSISTEVOUS;Assistante virtuelle;Fontenay-Trésigny (77610);0781441370;https://emilieassistevous.wixsite.com/website
Chartrons Multi-services;Service de nettoyage;53 rue Commandant Hautreux Bordeaux (33300);0634672857;
Schneider Rénovation;Plaquiste - peintre - carreleur - revêtements de sols;Erstein (67150);0695301472;
FCIT (Formation & Conseil IT);Ingénieur système et réseaux;Nézel (78410);+33763444104;http://www.fcit.fr
Efficienseo;Consultant SEO;Schiltigheim (67300);;https://www.efficienseo.com
ALESSANDRO EMO IAD France Immobilier;Conseiller Immobilier;49 IMPASSE DES LUCQUES Béziers (34500);0614188286;https://www.iadfrance.fr/conseiller-immobilier/alessandro.emo
Jeremy Dupet;Consultant en marketing digital;Rue Roger Salengro Haisnes (62138);0695749457;https://www.jeremydupet.fr
BOULE DE POILS;Votre métierToilettage canin et félin;38 rue d'Arras Salon Boule de Poils Saint-Omer (62500);0321384935;
